Transaction ID,Date,Store ID,Store Name,City,State,Customer ID,Gender,Age,Product ID,Product Name,Product Category,Quantity,Cost Price,Price per Unit,Discount %,Gross Sales,Discount Amount,Total Amount,Total Cost,Profit,Profit Margin %,Opening Stock,Purchased Stock,Stock Before Sale,Stock After Sale,Reorder Level,Stock Status,Payment Method,Year,Month,Month Name,Quarter,Day Name,Season
T004163,2024-01-01,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C0650,Female,26,P002,Bluetooth Speaker,Electronics,2,1450.0,2200.0,0,4400.0,0.0,4400.0,2900.0,1500.0,34.09,119,70,189,187,40,Healthy,Debit Card,2024,1,January,Q1,Monday,Winter
T001138,2024-01-01,ST002,City Center Store,Bareilly,Uttar Pradesh,C0341,Female,23,P012,Tea 500g,Grocery,3,190.0,280.0,15,840.0,126.0,714.0,570.0,144.0,20.17,138,64,202,199,27,Healthy,UPI,2024,1,January,Q1,Monday,Winter
T003052,2024-01-01,ST002,City Center Store,Bareilly,Uttar Pradesh,C0983,Male,36,P017,Water Bottle,Home & Kitchen,3,290.0,500.0,0,1500.0,0.0,1500.0,870.0,630.0,42.0,262,72,334,331,48,Healthy,UPI,2024,1,January,Q1,Monday,Winter
T000980,2024-01-01,ST003,Highway Store,Shahjahanpur,Uttar Pradesh,C0973,Female,40,P011,Wheat Flour 5kg,Grocery,3,225.0,300.0,5,900.0,45.0,855.0,675.0,180.0,21.05,173,124,297,294,47,Healthy,Credit Card,2024,1,January,Q1,Monday,Winter
T000756,2024-01-01,ST004,Mall Store,Agra,Uttar Pradesh,C0462,Female,36,P004,USB Cable,Electronics,2,220.0,450.0,5,900.0,45.0,855.0,440.0,415.0,48.54,210,115,325,323,30,Healthy,Credit Card,2024,1,January,Q1,Monday,Winter
T001978,2024-01-01,ST004,Mall Store,Agra,Uttar Pradesh,C1077,Female,22,P012,Tea 500g,Grocery,3,190.0,280.0,15,840.0,126.0,714.0,570.0,144.0,20.17,84,120,204,201,23,Healthy,UPI,2024,1,January,Q1,Monday,Winter
T003557,2024-01-01,ST004,Mall Store,Agra,Uttar Pradesh,C0907,Male,29,P006,Jeans,Clothing,2,950.0,1600.0,0,3200.0,0.0,3200.0,1900.0,1300.0,40.62,235,24,259,257,41,Healthy,Debit Card,2024,1,January,Q1,Monday,Winter
T000649,2024-01-01,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0936,Female,30,P015,Body Lotion,Beauty,5,215.0,350.0,0,1750.0,0.0,1750.0,1075.0,675.0,38.57,95,80,175,170,60,Healthy,UPI,2024,1,January,Q1,Monday,Winter
T002035,2024-01-01,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0228,Female,18,P013,Face Wash,Beauty,3,150.0,250.0,0,750.0,0.0,750.0,450.0,300.0,40.0,257,126,383,380,27,Healthy,Cash,2024,1,January,Q1,Monday,Winter
T003251,2024-01-01,ST005,Station Road Store,Lucknow,Uttar Pradesh,C0210,Female,49,P008,Sneakers,Clothing,1,2050.0,3200.0,20,3200.0,640.0,2560.0,2050.0,510.0,19.92,68,63,131,130,45,Healthy,UPI,2024,1,January,Q1,Monday,Winter
T000269,2024-01-02,ST001,Main Market Store,Pilibhit,Uttar Pradesh,C1009,Female,44,P014,Shampoo,Beauty,4,260.0,420.0,0,1680.0,0.0,1680.0,1040.0,640.0,38.1,217,44,261,257,43,Healthy,Debit Card,2024,1,January,Q1,Tuesday,Winter
T000069,2024-01-02,ST002,City Center Store,Bareilly,Uttar Pradesh,C0861,Male,27,P011,Wheat Flour 5kg,Grocery,3,225.0,300.0,0,900.0,0.0,900.0,675.0,225.0,25.0,261,131,392,389,49,Healthy,Debit Card,2024,1,January,Q1,Tuesday,Winter
T001916,2024-01-02,ST002,City Center Store,Bareilly,Uttar Pradesh,C0304,Male,34,P008,Sneakers,Clothing,3,2050.0,3200.0,0,9600.0,0.0,9600.0,6150.0,3450.0,35.94,256,118,374,371,48,Healthy,UPI,2024,1,January,Q1,Tuesday,Winter
